"year","cat5_prop","cat5_avg","cat4_prop","cat4_avg","cat3_prop","cat3_avg","cat2_prop","cat2_avg","cat1_prop","cat1_avg","ts_prop","ts_avg","td_prop","td_avg"
1897,0,0,0,0,0,0,0.149068322981366,24,0.136645962732919,22,0.701863354037267,113,0.0124223602484472,2
1898,0,0,0.00974025974025974,1.63636363636364,0.00974025974025974,1.63636363636364,0.191558441558442,32.1818181818182,0.0882034632034632,14.8181818181818,0.619588744588745,104.090909090909,0.0811688311688312,13.6363636363636
1899,0,0,0.0160771704180064,3,0.196141479099678,36.6,0.0739549839228296,13.8,0.231511254019293,43.2,0.453376205787781,84.6,0.0289389067524116,5.4
1900,0,0,0.0291666666666667,6,0.025,5.14285714285714,0.1,20.5714285714286,0.166666666666667,34.2857142857143,0.5375,110.571428571429,0.141666666666667,29.1428571428571
1901,0,0,0,0,0,0,0.048469387755102,8.76923076923077,0.14030612244898,25.3846153846154,0.665816326530612,120.461538461538,0.145408163265306,26.3076923076923
1902,0,0,0,0,0,0,0.113821138211382,16.8,0.105691056910569,15.6,0.536585365853659,79.2,0.24390243902439,36
1903,0,0,0,0,0.0574712643678161,9,0.053639846743295,8.4,0.344827586206897,54,0.436781609195402,68.4,0.10727969348659,16.8
1904,0,0,0,0,0,0,0,0,0.146853146853147,21,0.72027972027972,103,0.132867132867133,19
1905,0,0,0,0,0.043859649122807,6,0.0350877192982456,4.8,0.0263157894736842,3.6,0.798245614035088,109.2,0.0964912280701754,13.2
1906,0,0,0.0179948586118252,3.81818181818182,0.0951156812339332,20.1818181818182,0.0745501285347044,15.8181818181818,0.185089974293059,39.2727272727273,0.57840616966581,122.727272727273,0.0488431876606684,10.3636363636364
1907,0,0,0,0,0,0,0,0,0,0,0.9625,92.4,0.0375,3.6
1908,0,0,0,0,0.0431372549019608,6.6,0.0941176470588235,14.4,0.27843137254902,42.6,0.498039215686275,76.2,0.0862745098039216,13.2
1909,0,0,0,0,0.0878378378378378,13,0.0675675675675676,10,0.165540540540541,24.5,0.429054054054054,63.5,0.25,37
1910,0,0,0.0441176470588235,7.2,0.0367647058823529,6,0.25,40.8,0.205882352941176,33.6,0.242647058823529,39.6,0.220588235294118,36
1911,0,0,0,0,0,0,0.0512820512820513,8,0.128205128205128,20,0.576923076923077,90,0.243589743589744,38
1912,0,0,0,0,0.0378378378378378,6,0.0540540540540541,8.57142857142857,0.205405405405405,32.5714285714286,0.589189189189189,93.4285714285714,0.113513513513514,18
1913,0,0,0,0,0,0,0,0,0.105263157894737,16,0.809210526315789,123,0.0855263157894737,13
1914,0,0,0,0,0,0,0,0,0,0,0.764705882352941,78,0.235294117647059,24
1915,0,0,0.157635467980296,32,0.113300492610837,23,0.133004926108374,27,0.197044334975369,40,0.330049261083744,67,0.0689655172413793,14
1916,0,0,0.010443864229765,1.6,0.0548302872062663,8.4,0.12532637075718,19.2,0.18798955613577,28.8,0.472584856396867,72.4,0.148825065274151,22.8
1917,0,0,0.0769230769230769,13.5,0.153846153846154,27,0.128205128205128,22.5,0.094017094017094,16.5,0.358974358974359,63,0.188034188034188,33
1918,0,0,0,0,0.0252100840336134,3,0.0756302521008403,9,0.151260504201681,18,0.739495798319328,88,0.00840336134453781,1
1919,0,0,0.169811320754717,21.6,0.0754716981132075,9.6,0.0471698113207547,6,0.0566037735849057,7.2,0.509433962264151,64.8,0.141509433962264,18
1920,0,0,0,0,0,0,0.104803493449782,14.4,0.157205240174672,21.6,0.475982532751092,65.4,0.262008733624454,36
1921,0,0,0.0348258706467662,6,0.109452736318408,18.8571428571429,0.0746268656716418,12.8571428571429,0.213930348258706,36.8571428571429,0.373134328358209,64.2857142857143,0.194029850746269,33.4285714285714
1922,0,0,0,0,0.160893854748603,28.8,0.046927374301676,8.4,0.160893854748603,28.8,0.343016759776536,61.4,0.288268156424581,51.6
1923,0,0,0,0,0.0362389813907933,4.11111111111111,0.0763956904995103,8.66666666666667,0.146914789422135,16.6666666666667,0.528893241919687,60,0.211557296767875,24
1924,0.00760938490805327,1.09090909090909,0.0152187698161065,2.18181818181818,0.041851616994293,6,0.159797083069119,22.9090909090909,0.110336081166772,15.8181818181818,0.527584020291693,75.6363636363636,0.137603043753963,19.7272727272727
1925,0,0,0,0,0,0,0,0,0.0674157303370786,4.5,0.730337078651685,48.75,0.202247191011236,13.5
1926,0,0,0.0577647551276685,12.5454545454545,0.170782754290498,37.0909090909091,0.181247383842612,39.3636363636364,0.175805776475513,38.1818181818182,0.278777731268313,60.5454545454545,0.135621598995396,29.4545454545455
1927,0,0,0,0,0.080082135523614,9.75,0.0616016427104723,7.5,0.142710472279261,17.375,0.617043121149897,75.125,0.0985626283367557,12
1928,0.010989010989011,2,0.0879120879120879,16,0.0164835164835165,3,0.043956043956044,8,0.164835164835165,30,0.593406593406593,108,0.0824175824175824,15
1929,0,0,0.101867572156197,12,0.0509337860780985,6,0.0933786078098472,11,0.142614601018676,16.8,0.448217317487267,52.8,0.162988115449915,19.2
1930,0,0,0.0173913043478261,4,0.104347826086957,24,0.0956521739130435,22,0.173913043478261,40,0.51304347826087,118,0.0956521739130435,22
1931,0,0,0.00387346675274371,0.461538461538462,0.00387346675274371,0.461538461538462,0.0116204002582311,1.38461538461538,0.0619754680438993,7.38461538461539,0.651387992253067,77.6153846153846,0.267269205939316,31.8461538461538
1932,0.046831955922865,6.8,0.0606060606060606,8.8,0.0358126721763085,5.2,0.0798898071625344,11.6,0.0771349862258953,11.2,0.611570247933884,88.8,0.0881542699724518,12.8
1933,0.00668709947060462,1.2,0.0685427695736974,12.3,0.0702145444413486,12.6,0.0897185845639454,16.1,0.142936751184174,25.65,0.443020339927556,79.5,0.178879910838674,32.1
1934,0,0,0,0,0.00678733031674208,0.923076923076923,0.0678733031674208,9.23076923076923,0.175339366515837,23.8461538461538,0.597285067873303,81.2307692307692,0.152714932126697,20.7692307692308
1935,0.0120401337792642,2.25,0.0448160535117057,8.375,0.0923076923076923,17.25,0.104347826086957,19.5,0.124414715719064,23.25,0.417391304347826,78,0.204682274247492,38.25
1936,0,0,0,0,0.0260586319218241,2.82352941176471,0.136807817589577,14.8235294117647,0.162866449511401,17.6470588235294,0.514657980456026,55.7647058823529,0.159609120521173,17.2941176470588
1937,0,0,0,0,0.0461538461538462,4.90909090909091,0.107692307692308,11.4545454545455,0.164102564102564,17.4545454545455,0.538461538461538,57.2727272727273,0.143589743589744,15.2727272727273
1938,0.015748031496063,2,0.073490813648294,9.33333333333333,0.0288713910761155,3.66666666666667,0.047244094488189,6,0.15748031496063,20,0.498687664041995,63.3333333333333,0.178477690288714,22.6666666666667
1939,0,0,0.0413793103448276,7,0.0236453201970443,4,0.00591133004926108,1,0.0768472906403941,13,0.580295566502463,98.1666666666667,0.27192118226601,46
1940,0,0,0,0,0,0,0.11304347826087,17.3333333333333,0.204347826086957,31.3333333333333,0.478260869565217,73.3333333333333,0.204347826086957,31.3333333333333
1941,0,0,0.0118226600985222,2,0.0354679802955665,6,0.0660098522167488,11.1666666666667,0.159605911330049,27,0.508374384236453,86,0.21871921182266,37
1942,0,0,0,0,0.0222222222222222,2.72727272727273,0.0711111111111111,8.72727272727273,0.137777777777778,16.9090909090909,0.653333333333333,80.1818181818182,0.115555555555556,14.1818181818182
1943,0,0,0.0306122448979592,3.6,0.0612244897959184,7.2,0.193877551020408,22.8,0.168367346938776,19.8,0.505102040816326,59.4,0.0408163265306122,4.8
1944,0,0,0.0395256916996047,4.28571428571429,0.0513833992094862,5.57142857142857,0.08300395256917,9,0.205533596837945,22.2857142857143,0.553359683794466,60,0.0671936758893281,7.28571428571429
1945,0,0,0.0108695652173913,1.09090909090909,0.0706521739130435,7.09090909090909,0.0543478260869565,5.45454545454545,0.190217391304348,19.0909090909091,0.521739130434783,52.3636363636364,0.152173913043478,15.2727272727273
1946,0,0,0,0,0,0,0.0428571428571429,2.57142857142857,0.257142857142857,15.4285714285714,0.528571428571429,31.7142857142857,0.171428571428571,10.2857142857143
1947,0,0,0.0381895332390382,5.4,0.0678925035360679,9.6,0.101838755304102,14.4,0.101838755304102,14.4,0.507779349363508,71.8,0.182461103253182,25.8
